Year,Category,Name,Value,Source_File
2005,Finance,BIST100_USD,250,finance.csv
2005,Finance,Gold_USD,445,finance.csv
2005,Finance,Nasdaq_Index,2205,finance.csv
2005,Finance,S&P500_Index,1248,finance.csv
2005,Finance,US_CPI_Index,100,finance.csv
2005,Watch,Audemars_Piguet_RoyalOak,11500,saat_verileri_son(1).csv
2005,Watch,Breitling_Navitimer,4200,saat_verileri_son(1).csv
2005,Watch,Breitling_Superocean,2200,saat_verileri_son(1).csv
2005,Watch,Cartier_Santos,3800,saat_verileri_son(1).csv
2005,Watch,Cartier_Tank,2200,saat_verileri_son(1).csv
2005,Watch,Casio_G_Shock,45,saat_verileri_son(1).csv
2005,Watch,Hamilton_Khaki_Field,295,saat_verileri_son(1).csv
2005,Watch,Hublot_Big_Bang,7900,saat_verileri_son(1).csv
2005,Watch,IWC_Portugieser,5900,saat_verileri_son(1).csv
2005,Watch,Jaeger_LeCoultre_Reverso,3800,saat_verileri_son(1).csv
2005,Watch,Longines_Master_Collection,1550,saat_verileri_son(1).csv
2005,Watch,Nomos_Tangente,1100,saat_verileri_son(1).csv
2005,Watch,Omega_Seamaster_300,2100,saat_verileri_son(1).csv
2005,Watch,Omega_Speedmaster,2600,saat_verileri_son(1).csv
2005,Watch,Panerai_Luminor,4200,saat_verileri_son(1).csv
2005,Watch,Patek_Philippe_Calatrava,15500,saat_verileri_son(1).csv
2005,Watch,Patek_Philippe_Nautilus,17000,saat_verileri_son(1).csv
2005,Watch,Richard_Mille_RM011,75000,saat_verileri_son(1).csv
2005,Watch,Rolex_Datejust,4400,saat_verileri_son(1).csv
2005,Watch,Rolex_Daytona,6600,saat_verileri_son(1).csv
2005,Watch,Rolex_GMT_Master_II,4250,saat_verileri_son(1).csv
2005,Watch,Rolex_Submariner,4250,saat_verileri_son(1).csv
2005,Watch,Seiko_5_Sports,125,saat_verileri_son(1).csv
2005,Watch,Seiko_Prospex,350,saat_verileri_son(1).csv
2005,Watch,TAG_Heuer_Aquaracer,1450,saat_verileri_son(1).csv
2005,Watch,TAG_Heuer_Carrera,2200,saat_verileri_son(1).csv
2005,Watch,TAG_Heuer_Monaco,3200,saat_verileri_son(1).csv
2005,Watch,Tissot_Le_Locle,395,saat_verileri_son(1).csv
2005,Watch,Zenith_El_Primero,4500,saat_verileri_son(1).csv
2006,Finance,BIST100_USD,265,finance.csv
2006,Finance,Gold_USD,603,finance.csv
2006,Finance,Nasdaq_Index,2263,finance.csv
2006,Finance,S&P500_Index,1310,finance.csv
2006,Finance,US_CPI_Index,103.2,finance.csv
2006,Watch,Audemars_Piguet_RoyalOak,12500,saat_verileri_son(1).csv
2006,Watch,Breitling_Navitimer,4400,saat_verileri_son(1).csv
2006,Watch,Breitling_Superocean,2400,saat_verileri_son(1).csv
2006,Watch,Cartier_Santos,4000,saat_verileri_son(1).csv
2006,Watch,Cartier_Tank,2300,saat_verileri_son(1).csv
2006,Watch,Casio_G_Shock,45,saat_verileri_son(1).csv
